date,recession
4/14/2013,65
4/21/2013,73
4/28/2013,69
5/5/2013,62
5/12/2013,92
5/19/2013,52
5/26/2013,46
6/2/2013,46
6/9/2013,44
6/16/2013,40
6/23/2013,40
6/30/2013,32
7/7/2013,36
7/14/2013,36
7/21/2013,36
7/28/2013,37
8/4/2013,34
8/11/2013,45
8/18/2013,44
8/25/2013,40
9/1/2013,47
9/8/2013,50
9/15/2013,52
9/22/2013,54
9/29/2013,56
10/6/2013,55
10/13/2013,59
10/20/2013,56
10/27/2013,51
11/3/2013,55
11/10/2013,59
11/17/2013,54
11/24/2013,46
12/1/2013,60
12/8/2013,57
12/15/2013,45
12/22/2013,24
12/29/2013,26
1/5/2014,42
1/12/2014,42
1/19/2014,45
1/26/2014,46
2/2/2014,48
2/9/2014,49
2/16/2014,48
2/23/2014,54
3/2/2014,54
3/9/2014,51
3/16/2014,48
3/23/2014,51
3/30/2014,49
4/6/2014,49
4/13/2014,52
4/20/2014,54
4/27/2014,62
5/4/2014,52
5/11/2014,51
5/18/2014,44
5/25/2014,40
6/1/2014,43
6/8/2014,37
6/15/2014,34
6/22/2014,36
6/29/2014,28
7/6/2014,31
7/13/2014,31
7/20/2014,35
7/27/2014,30
8/3/2014,35
8/10/2014,32
8/17/2014,33
8/24/2014,37
8/31/2014,38
9/7/2014,48
9/14/2014,47
9/21/2014,45
9/28/2014,49
10/5/2014,53
10/12/2014,54
10/19/2014,53
10/26/2014,49
11/2/2014,54
11/9/2014,58
11/16/2014,85
11/23/2014,52
11/30/2014,65
12/7/2014,61
12/14/2014,52
12/21/2014,33
12/28/2014,33
1/4/2015,50
1/11/2015,59
1/18/2015,52
1/25/2015,53
2/1/2015,47
2/8/2015,48
2/15/2015,48
2/22/2015,52
3/1/2015,54
3/8/2015,54
3/15/2015,50
3/22/2015,49
3/29/2015,47
4/5/2015,47
4/12/2015,55
4/19/2015,58
4/26/2015,57
5/3/2015,57
5/10/2015,51
5/17/2015,47
5/24/2015,38
5/31/2015,41
6/7/2015,40
6/14/2015,38
6/21/2015,37
6/28/2015,44
7/5/2015,52
7/12/2015,44
7/19/2015,43
7/26/2015,42
8/2/2015,42
8/9/2015,42
8/16/2015,54
8/23/2015,61
8/30/2015,99
9/6/2015,63
9/13/2015,65
9/20/2015,51
9/27/2015,55
10/4/2015,56
10/11/2015,61
10/18/2015,55
10/25/2015,53
11/1/2015,58
11/8/2015,62
11/15/2015,62
11/22/2015,47
11/29/2015,64
12/6/2015,70
12/13/2015,55
12/20/2015,32
12/27/2015,36
1/3/2016,55
1/10/2016,78
1/17/2016,81
1/24/2016,69
1/31/2016,76
2/7/2016,90
2/14/2016,65
2/21/2016,72
2/28/2016,70
3/6/2016,65
3/13/2016,62
3/20/2016,55
3/27/2016,54
4/3/2016,69
4/10/2016,68
4/17/2016,65
4/24/2016,64
5/1/2016,62
5/8/2016,62
5/15/2016,56
5/22/2016,54
5/29/2016,45
6/5/2016,50
6/12/2016,42
6/19/2016,82
6/26/2016,58
7/3/2016,42
7/10/2016,42
7/17/2016,47
7/24/2016,50
7/31/2016,49
8/7/2016,42
8/14/2016,34
8/21/2016,45
8/28/2016,64
9/4/2016,71
9/11/2016,63
9/18/2016,67
9/25/2016,74
10/2/2016,69
10/9/2016,75
10/16/2016,68
10/23/2016,69
10/30/2016,66
11/6/2016,100
11/13/2016,73
11/20/2016,59
11/27/2016,69
12/4/2016,77
12/11/2016,67
12/18/2016,45
12/25/2016,34
1/1/2017,45
1/8/2017,52
1/15/2017,56
1/22/2017,66
1/29/2017,55
2/5/2017,58
2/12/2017,58
2/19/2017,60
2/26/2017,67
3/5/2017,66
3/12/2017,58
3/19/2017,61
3/26/2017,58
4/2/2017,56
4/9/2017,54
4/16/2017,59
4/23/2017,67
4/30/2017,62
5/7/2017,62
5/14/2017,52
5/21/2017,49
5/28/2017,48
6/4/2017,62
6/11/2017,47
6/18/2017,39
6/25/2017,37
7/2/2017,40
7/9/2017,37
7/16/2017,41
7/23/2017,36
7/30/2017,36
8/6/2017,36
8/13/2017,38
8/20/2017,35
8/27/2017,39
9/3/2017,47
9/10/2017,44
9/17/2017,48
9/24/2017,48
10/1/2017,52
10/8/2017,51
10/15/2017,53
10/22/2017,48
10/29/2017,57
11/5/2017,54
11/12/2017,58
11/19/2017,46
11/26/2017,61
12/3/2017,64
12/10/2017,54
12/17/2017,42
12/24/2017,31
12/31/2017,35
1/7/2018,51
1/14/2018,47
1/21/2018,49
1/28/2018,52
2/4/2018,65
2/11/2018,55
2/18/2018,50
2/25/2018,58
3/4/2018,54
3/11/2018,52
3/18/2018,55
3/25/2018,48
4/1/2018,48
4/8/2018,52
